income,delta,predict,islow
2683.33,349.5154676,2333.81,0
2440.3,-183.3206606,2623.62,0
2413,-149.3546029,2562.35,0
2462,-153.7345615,2615.73,0
2527.46,-325.3517431,2852.81,1
2602.4,-71.41884479,2673.82,0
2387.5,-118.1639848,2505.66,0
2565.33,182.2478953,2383.08,0
2373.5,133.2159678,2240.28,0
2608.2,-328.1019164,2936.30,1
2661,-77.14362068,2738.14,0
2406.67,-241.4208473,2648.09,1
2362.3,-58.72039667,2421.02,0
2552.2,228.510162,2323.69,0
2375,-93.29407796,2468.29,0
2403.33,249.4695562,2153.86,0
2627.21,153.1826898,2474.03,0
2460.4,-379.3537327,2839.75,1
2440.35,-123.5930597,2563.94,0
2393.33,142.3913003,2250.94,0
2605,-610.5042818,3215.50,1
2461.67,-81.77368254,2543.44,0
2395,-103.2945941,2498.29,0
2718.69,-71.26928326,2789.96,0
2410.93,-12.16155952,2423.09,0
2355,43.00603345,2311.99,0
2452.55,157.105535,2295.44,0
2704.01,56.52920294,2647.48,0
2502.08,-53.50917636,2555.59,0
2527.34,391.6488279,2135.69,0
2599.8,231.8258736,2367.97,0
2700,256.3355772,2443.66,0
2633.33,378.5982341,2254.73,0
2571.84,212.0484463,2359.79,0
2391.5,333.022961,2058.48,0
2461.67,55.97913862,2405.69,0
2374.67,-20.83057593,2395.50,0
2620.96,-395.15247,3016.11,1
2556.67,94.38798405,2462.28,0
2737.67,-0.676647926,2738.35,0
2482.18,596.3732478,1885.81,0
2399.6,77.55487076,2322.05,0
2528.51,214.1312923,2314.38,0
2466.67,-77.01853351,2543.69,0
2695.17,104.0885909,2591.08,0
2422,-314.6228758,2736.62,1
2574.67,-18.62505615,2593.30,0
2511,197.5492538,2313.45,0
2461.1,-116.3749112,2577.47,0
2563.18,211.3115368,2351.87,0
2524.76,-277.0747221,2801.83,1
2674,-83.14795088,2757.15,0
2504.35,-172.8321401,2677.18,0
2421.25,-19.94858016,2441.20,0
2554.45,-423.1193549,2977.57,1
2566.67,371.3226589,2195.35,0
2416,81.16471312,2334.84,0
2638.98,142.0672935,2496.91,0
2569.74,-98.26871777,2668.01,0
2634.15,-334.8730842,2969.02,1
2702.89,362.2329238,2340.66,0
2421.07,-257.607397,2678.68,1
2669.8,-355.5157966,3025.32,1
2733.33,239.2278343,2494.10,0
2632.75,-64.70862659,2697.46,0
2551.67,117.8840911,2433.79,0
2405.58,-321.1563008,2726.74,1
2444,232.2716824,2211.73,0
2484.5,71.78043049,2412.72,0
2467.25,237.0580847,2230.19,0
2409.38,-328.4517966,2737.83,1
2512.24,-63.85396947,2576.09,0
2500,99.11331098,2400.89,0
2389.93,-131.7263901,2521.66,0
2633.7,-129.181333,2762.88,0
2695.36,259.4517256,2435.91,0
2420.34,127.5122582,2292.83,0
2384.75,-433.7258518,2818.48,1
2606,-54.40889249,2660.41,0
2558.33,-37.44793121,2595.78,0
2506.67,-205.3759438,2712.05,1
2425,140.9890541,2284.01,0
2465,502.6808347,1962.32,0
2670,-222.369336,2892.37,1
2509.67,187.5794304,2322.09,0
2438.33,143.9708333,2294.36,0
2658,-27.15219945,2685.15,0
2517.5,77.61843931,2439.88,0
2700,-106.2303553,2806.23,0
2666.67,-18.24519843,2684.92,0
2613.9,-79.58460961,2693.48,0
2544,311.9151818,2232.08,0
2385.5,-114.852694,2500.35,0
2577.83,131.5122153,2446.32,0
2570,-0.553926718,2570.55,0
2574.68,-35.87998084,2610.56,0
2618,227.2195254,2390.78,0
2574.5,22.95784139,2551.54,0
2367,326.1631038,2040.84,0
2730.6,84.45174585,2646.15,0
2682.25,327.3158315,2354.93,0
2432.5,20.32311635,2412.18,0
2596.84,-3.117052455,2599.96,0
2593.33,-103.8769875,2697.21,0
2503.6,429.3356509,2074.26,0
2729.43,379.1535414,2350.28,0
2633.6,14.03966704,2619.56,0
2386.25,233.9038735,2152.35,0
2686.2,-317.7683524,3003.97,1
2607.38,-35.93333141,2643.31,0
2738.1,132.4442023,2605.66,0
2596.2,-95.29351094,2691.49,0
2463.33,-59.28027271,2522.61,0
2570.58,83.8212626,2486.76,0
2540,127.8322539,2412.17,0
2531,-38.1683752,2569.17,0
2674.92,93.81038011,2581.11,0
2409,232.0971929,2176.90,0
2527.07,360.9080743,2166.16,0
2360,137.4262696,2222.57,0
2459.74,119.8963768,2339.84,0
2408.78,-130.9658647,2539.75,0
2460,49.4476863,2410.55,0
2540,509.5500388,2030.45,0
2419.5,-151.0227355,2570.52,0
2449.19,795.3040864,1653.89,0
2532.5,181.7604494,2350.74,0
2533.12,-519.8362807,3052.96,1
2380.42,-75.91855969,2456.34,0
2400,7.086875752,2392.91,0
2502.3,-247.2001261,2749.50,1
2440,171.5628147,2268.44,0
2700,-3.153853307,2703.15,0
2507,396.7347532,2110.27,0
2507.5,-77.67849377,2585.18,0
2417.5,-119.0199656,2536.52,0
2360,-402.850476,2762.85,1
2582,-128.0728954,2710.07,0
2410,26.53536444,2383.46,0
2366.1,98.85666984,2267.24,0
2379.82,-176.7681582,2556.59,0
2444,-32.24753986,2476.25,0
2421.29,-11.95715212,2433.25,0
2509,120.8467354,2388.15,0
2538.75,143.3437555,2395.41,0
2720,-139.9938095,2859.99,0
2643.33,-320.5785953,2963.91,1
2481.25,34.54810346,2446.70,0
2363.81,-239.8651178,2603.68,1
2687,29.48083772,2657.52,0
2490.13,95.26889947,2394.86,0
2491.5,104.6624612,2386.84,0
2463.75,218.1414154,2245.61,0
2447.82,202.8107507,2245.01,0
2375,-345.1417322,2720.14,1
2559.5,129.6399789,2429.86,0
2510,186.9122883,2323.09,0
2609.5,-310.139735,2919.64,1
2630,96.25747656,2533.74,0
2429.75,-92.74040609,2522.49,0
2385.21,146.7300445,2238.48,0
2376.67,148.788147,2227.88,0
2390,-591.2578997,2981.26,1
2592,320.6702793,2271.33,0
2400,54.89774314,2345.10,0
2581,-278.1890424,2859.19,1
2394.6,142.7742729,2251.83,0
2498.1,38.73797576,2459.36,0
2509.67,-37.3635923,2547.03,0
2364,-274.3694532,2638.37,1
2465.54,-279.3478011,2744.89,1
2589.71,-284.8298742,2874.54,1
2671,-399.0445354,3070.04,1
2468.33,2.070029529,2466.26,0
2587.63,-171.406631,2759.04,0
2650.75,-93.27456888,2744.02,0
2441,384.7653105,2056.23,0
2500,-224.1107948,2724.11,1
2470.25,-28.51674478,2498.77,0
2410,107.7418994,2302.26,0
2590.86,-6.251632892,2597.11,0
2647.5,579.458128,2068.04,0
2673.33,-224.3945962,2897.72,1
2474.22,-128.2053914,2602.43,0
2717.55,-255.4516304,2973.00,1
2546,-305.4011376,2851.40,1
2653,328.6350115,2324.36,0
2512.67,-30.92912046,2543.60,0
2394,238.4048852,2155.60,0
2465,18.82977378,2446.17,0
2396.48,-234.971469,2631.45,1
2377.75,21.93007251,2355.82,0
2705.8,58.95779864,2646.84,0
2484,-194.0361566,2678.04,0
2632.5,3.933137454,2628.57,0
2500,316.5064746,2183.49,0
2455.65,180.7613723,2274.89,0
2590,-184.5234285,2774.52,0
2447.5,-167.2674606,2614.77,0
2579.33,538.1232388,2041.21,0
2369.33,396.2569255,1973.07,0
2573.4,-50.33146312,2623.73,0
2596,74.48485042,2521.52,0
2368.4,-169.2946403,2537.69,0
2451.38,38.92581817,2412.45,0
2530,152.737091,2377.26,0
2658.49,107.8236329,2550.67,0
2714.57,56.76655488,2657.80,0
2373.33,107.754976,2265.58,0
2668.25,-91.18166989,2759.43,0
2359.38,-38.83749026,2398.22,0
2428.17,-286.4291986,2714.60,1
2470.13,-55.54777982,2525.68,0
2583.87,60.82936872,2523.04,0
2712,173.9905584,2538.01,0
2669,-168.0694065,2837.07,0
2402.6,217.6211189,2184.98,0
2458.75,-42.87434756,2501.62,0
2548.29,-174.5347617,2722.82,0
2489.5,258.4708229,2231.03,0
2688.75,-431.1884363,3119.94,1
2608.5,238.5729169,2369.93,0
2585.33,-79.56821606,2664.90,0
2358.25,-548.6140035,2906.86,1
2560.5,-50.73979879,2611.24,0
2474,-292.9398266,2766.94,1
2558,-39.85677324,2597.86,0
2580,65.76285048,2514.24,0
2657.25,-191.0544275,2848.30,0
2543.2,23.78301556,2519.42,0
2733.33,577.239728,2156.09,0
2732.5,-182.2712118,2914.77,0
2722.5,455.1819246,2267.32,0
2745,-214.9544028,2959.95,1
2728,148.2626141,2579.74,0
2547.5,17.2706522,2530.23,0
2689,-177.6807802,2866.68,0
2582.5,-230.7040183,2813.20,1
2642.5,8.307959976,2634.19,0
2550,512.6152033,2037.38,0
2706.76,94.15580115,2612.60,0
2719.67,-86.79932594,2806.47,0
2511.55,-51.94177318,2563.49,0
2550,-80.70875475,2630.71,0
2407.33,45.79318714,2361.54,0
2662,312.6313088,2349.37,0
2601.5,-120.5595094,2722.06,0
2688.5,152.7094526,2535.79,0
2545,-106.5702131,2651.57,0
2578.79,56.23392837,2522.56,0
2510,-126.704332,2636.70,0
2530,84.93250125,2445.07,0
2635,105.3102358,2529.69,0
2464.14,-16.00176496,2480.14,0
2433.33,239.72258,2193.61,0
2620.04,-39.7256711,2659.77,0
2451.25,180.8604245,2270.39,0
2438,222.852699,2215.15,0
2430.01,157.5358575,2272.47,0
2426.67,-216.3392405,2643.01,1
2464,-385.0551952,2849.06,1
2476,-85.17742118,2561.18,0
2386.16,-409.9182977,2796.08,1
2693.07,-64.0769681,2757.15,0
2502.5,145.5069753,2356.99,0
2472,-299.6795267,2771.68,1
2709.2,101.6125467,2607.59,0
2632.19,213.4733471,2418.72,0
2733.6,38.76091462,2694.84,0
2480.9,289.9799193,2190.92,0
2446.67,-1.028566349,2447.70,0
2528.23,121.1977916,2407.03,0
2626.67,-263.1092575,2889.78,1
2457.5,196.215669,2261.28,0
2518.78,254.2419129,2264.54,0
2624,507.3924924,2116.61,0
2507.5,238.4707585,2269.03,0
2605.4,-420.9036475,3026.30,1
2487,-120.0742587,2607.07,0
2391,412.8230902,1978.18,0
2677.67,12.5361573,2665.13,0
2745.7,-47.11631326,2792.82,0
2687.67,208.7350076,2478.93,0
2666.67,474.711207,2191.96,0
2444.75,-88.11252032,2532.86,0
2470.6,-113.3388209,2583.94,0
2684.68,-343.9020388,3028.58,1
2673.23,-269.6771672,2942.91,1
2480,-194.2390405,2674.24,0
2359.95,319.0963011,2040.85,0
2488.84,112.1493371,2376.69,0
2682.87,-85.00559332,2767.88,0
2480,-49.36245934,2529.36,0
2612,240.5524699,2371.45,0
2483.33,417.5263765,2065.80,0
2687.18,-269.441984,2956.62,1
2480.25,83.57385931,2396.68,0
2550.03,236.237961,2313.79,0
2379,401.9923417,1977.01,0
2474.25,-83.45750093,2557.71,0
2666.67,307.9712974,2358.70,0
2540,380.8319518,2159.17,0
2417.5,-314.4276941,2731.93,1
2523.5,-545.6613627,3069.16,1
2546.13,54.34145448,2491.79,0
2668.84,85.07115645,2583.77,0
2526.03,-60.09759664,2586.13,0
2661.08,171.9146303,2489.17,0
2396.08,202.2606403,2193.82,0
2530.06,118.6048827,2411.46,0
2670,66.42558583,2603.57,0
2512,-75.15114036,2587.15,0
2504.61,-601.6921229,3106.30,1
2384.16,551.6910458,1832.47,0
